spring number,spring location,spring name,long,lat,type,well_depth,flow_rate_mean,flow_rate_min,flow_rate_max,temp_mean,temp_min,temp_max,reference,reference_DOI,reference_link,EC,pH,sample_temperature,TDS,TDS_min,TDS_max,Na,Ca,Mg,K,NH4,Cl,F,SO4,HCO3,CO3,NO3,Si,Li,SiO2,reference_hydrochemistry,doi_hydrochemistry,reference_link_hydrochemistry,delta_18O,delta_2H,3H,delta_14C,delta_13C,4He,3He,reference_isotope_data,DOI_isotope_data,reference_link_isotope_data
743,Berthement-Roquebillière (St. Martin Lantosque),66,7.361083984,43.9876709,spring,,0.001,,,30,29.5,30.5,Waring (1965) USGS report,https://doi.org/10.3133/pp492,https://pubs.usgs.gov/pp/0492/report.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,Gréoux,67,5.985107422,43.70910645,spring,,0.020023148,,,37,,,Waring (1965) USGS report,https://doi.org/10.3133/pp492,https://pubs.usgs.gov/pp/0492/report.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,Fontaines Chaudes,5,6.140075684,48.03747559,unknown,,,,,26.45,25.4,27.5,Waring (1965) USGS report,https://doi.org/10.3133/pp492,https://pubs.usgs.gov/pp/0492/report.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,Bains (Bains-les-Bains),6,6.235107422,48.00189209,spring,,0.002314815,,,41.5,33,50,Waring (1965) USGS report,https://doi.org/10.3133/pp492,https://pubs.usgs.gov/pp/0492/report.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,La Chaudeau,7,6.320922852,47.9519043,spring,,0.002314815,,,22.5,22,23,Waring (1965) USGS report,https://doi.org/10.3133/pp492,https://pubs.usgs.gov/pp/0492/report.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,Plombières,8,6.465881348,47.94470215,spring,,0.008449074,,,48.5,27,70,Waring (1965) USGS report,https://doi.org/10.3133/pp492,https://pubs.usgs.gov/pp/0492/report.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Chaude Fontaine,9,6.701477051,47.98052979,unknown,,,,,23.6,,,Waring (1965) USGS report,https://doi.org/10.3133/pp492,https://pubs.usgs.gov/pp/0492/report.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,Luxeuil,10,6.368286133,47.80187988,unknown,,0.007291667,,,36.75,21,52.5,Waring (1965) USGS report,https://doi.org/10.3133/pp492,https://pubs.usgs.gov/pp/0492/report.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,Saint-Gervais-les-Bains,Gontard Well,6.70595,45.89658,well,7.45,0.0005,,,39.6,,,Sonney & Vuataz (2008),https://doi.org/10.1016/j.geothermics.2008.07.001,https://crege.ch/index.php?page=rd_BDF2&menu=rd&site=Saint-Gervais-les-Bains&code=STGER-GONT,0.5774,7.15,39.6,4700,,,1258,281,28.3,41.6,,952,4,1800,264,,,,10.9,,,,https://crege.ch/index.php?page=rd_BDF2&menu=rd&site=Saint-Gervais-les-Bains&code=STGER-GONT,-13.18,-95.5,5,,,,,Sonney & Vuataz (2008),https://doi.org/10.1016/j.geothermics.2008.07.001,https://crege.ch/index.php?page=rd_BDF2&menu=rd&site=Saint-Gervais-les-Bains&code=STGER-GONT
752,Saint-Gervais-les-Bains,Sulfureuse Spring,6.70595,45.89658,spring,,0.00042,,,32.8,,,Sonney & Vuataz (2008),https://doi.org/10.1016/j.geothermics.2008.07.001,https://crege.ch/index.php?page=rd_BDF2&menu=rd&site=Saint-Gervais-les-Bains&code=STGER-SULF,0.5734,7.05,32.8,4831,,,1277,294,28.7,44.7,,950,3.9,1900,262,,,,11.1,,,,https://crege.ch/index.php?page=rd_BDF2&menu=rd&site=Saint-Gervais-les-Bains&code=STGER-SULF,-13.2,-96.2,5,,,,,Sonney & Vuataz (2008),https://doi.org/10.1016/j.geothermics.2008.07.001,https://crege.ch/index.php?page=rd_BDF2&menu=rd&site=Saint-Gervais-les-Bains&code=STGER-SULF
753,Saint-Gervais-les-Bains,Piscine,6.70595,45.89658,spring,,0.00333,,,33.6,,,Sonney & Vuataz (2008),https://doi.org/10.1016/j.geothermics.2008.07.001,https://crege.ch/index.php?page=rd_BDF2&menu=rd&site=Saint-Gervais-les-Bains&code=STGER-PISC,0.4967,7.15,34.4,4339,,,1086,292,29.4,34.4,,783,,1800,255,,,,9,,,,https://crege.ch/index.php?page=rd_BDF2&menu=rd&site=Saint-Gervais-les-Bains&code=STGER-PISC,-13.1,-94.2,14,,,,,Sonney & Vuataz (2008),https://doi.org/10.1016/j.geothermics.2008.07.001,https://crege.ch/index.php?page=rd_BDF2&menu=rd&site=Saint-Gervais-les-Bains&code=STGER-PISC
754,Saint-Gervais-les-Bains,Gontard,6.70611111,45.8966667,well,7.5,0.0002,,,,,,"Sonney and Vuataz, 2010, Remobilisation of deep Na-Cl waters by a regional flow system in the Alps: Case study of Saint-Gervais-les-Bains (France), Comptes Rendus Geoscience, Vol 342",https://doi.org/10.1016/j.crte.2009.12.011,,,7.12,20.1,1621,,,212,210,35.7,8.6,,129,1.14,776,221,,,,1.4,,"Sonney and Vuataz, 2010, Remobilisation of deep Na-Cl waters by a regional flow system in the Alps: Case study of Saint-Gervais-les-Bains (France), Comptes Rendus Geoscience, Vol 342",https://doi.org/10.1016/j.crte.2009.12.011,https://www.sciencedirect.com/science/article/pii/S1631071310000118,-11.8,-84.6,,,,,,"Sonney and Vuataz (2010) Remobilisation of deep Na-Cl waters by a regional flow system in the Alps: Case study of Saint-Gervais-les-Bains (France), Comptes Rendus Geoscience, Vol 342",https://doi.org/10.1016/j.crte.2009.12.011,
755,Saint-Gervais-les-Bains,Sulfureuse,6.70611111,45.8966667,spring,,0.00002,,,,,,Sonney and Vuataz 2010,https://doi.org/10.1016/j.crte.2009.12.011,http://www.sciencedirect.com/science/article/pii/S1631071310000118,,7.6,9.1,329,,,4.1,65.7,10.1,1.9,,4.4,0.1,95.2,141,,,,0.01,,"Sonney and Vuataz, 2010, Remobilisation of deep Na-Cl waters by a regional flow system in the Alps: Case study of Saint-Gervais-les-Bains (France), Comptes Rendus Geoscience, Vol 342",https://doi.org/10.1016/j.crte.2009.12.011,https://www.sciencedirect.com/science/article/pii/S1631071310000118,-11.42,-80.5,,,,,,"Sonney and Vuataz (2010) Remobilisation of deep Na-Cl waters by a regional flow system in the Alps: Case study of Saint-Gervais-les-Bains (France), Comptes Rendus Geoscience, Vol 342",https://doi.org/10.1016/j.crte.2009.12.011,
756,Saint-Gervais-les-Bains,Ferrugineuse,6.70611111,45.8966667,spring,,0.001,,,,,,Sonney and Vuataz 2010,https://doi.org/10.1016/j.crte.2009.12.011,http://www.sciencedirect.com/science/article/pii/S1631071310000118,,6.91,10.5,2369,,,11.3,612,68.7,1.8,,16.8,0.21,1352,301,,,,0.028,,"Sonney and Vuataz, 2010, Remobilisation of deep Na-Cl waters by a regional flow system in the Alps: Case study of Saint-Gervais-les-Bains (France), Comptes Rendus Geoscience, Vol 342",https://doi.org/10.1016/j.crte.2009.12.011,https://www.sciencedirect.com/science/article/pii/S1631071310000118,-11.31,-81.6,,,,,,"Sonney and Vuataz (2010) Remobilisation of deep Na-Cl waters by a regional flow system in the Alps: Case study of Saint-Gervais-les-Bains (France), Comptes Rendus Geoscience, Vol 342",https://doi.org/10.1016/j.crte.2009.12.011,
757,Saint-Gervais-les-Bains,Magnésienne,6.70611111,45.8966667,spring,,0.002,,,,,,Sonney and Vuataz 2010,https://doi.org/10.1016/j.crte.2009.12.011,http://www.sciencedirect.com/science/article/pii/S1631071310000118,,7.01,10.5,2470,,,12.4,629,66.5,1.8,,18.3,0.3,1428,306,,,,0.022,,"Sonney and Vuataz, 2010, Remobilisation of deep Na-Cl waters by a regional flow system in the Alps: Case study of Saint-Gervais-les-Bains (France), Comptes Rendus Geoscience, Vol 342",https://doi.org/10.1016/j.crte.2009.12.011,https://www.sciencedirect.com/science/article/pii/S1631071310000118,-11.17,-82,,,,,,"Sonney and Vuataz (2010) Remobilisation of deep Na-Cl waters by a regional flow system in the Alps: Case study of Saint-Gervais-les-Bains (France), Comptes Rendus Geoscience, Vol 342",https://doi.org/10.1016/j.crte.2009.12.011,
758,Saint-Gervais-les-Bains,Cold Spring,6.70611111,45.8966667,spring,,0.0001,,,,,,Sonney and Vuataz 2010,https://doi.org/10.1016/j.crte.2009.12.011,http://www.sciencedirect.com/science/article/pii/S1631071310000118,,7.32,10.8,736,,,10.1,147,27.3,2.1,,10.2,0.2,324,204,,,,0.046,,"Sonney and Vuataz, 2010, Remobilisation of deep Na-Cl waters by a regional flow system in the Alps: Case study of Saint-Gervais-les-Bains (France), Comptes Rendus Geoscience, Vol 342",https://doi.org/10.1016/j.crte.2009.12.011,https://www.sciencedirect.com/science/article/pii/S1631071310000118,-11.33,-80.1,,,,,,"Sonney and Vuataz (2010) Remobilisation of deep Na-Cl waters by a regional flow system in the Alps: Case study of Saint-Gervais-les-Bains (France), Comptes Rendus Geoscience, Vol 342",https://doi.org/10.1016/j.crte.2009.12.011,
759,Berthemont-les-Bains,,6.70611111,45.8966667,spring,,0.00228,,,25,,29,unpublished PhD thesis of Baietto,,,0.037,9.9,15.3,,,,81.9,4.1,0.3,2.6,,25.6,12.8,39.6,0.42,,,,,,unpublished PhD thesis of Baietto,,,-11.8,-81.28,,,,,,unpublished PhD thesis of Baietto,,
760,Aix (Bouches-du-Rhone),Sextius,5.44527778,43.5267306,spring,,0.004351852,,,35.5,34.16,36.87,Joanne and le Pileur (1880) Les Bains d'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,Aix (Bouches-du-Rhone),Barret,5.44527778,43.5267306,spring,,,,,19,17,21,"Risler, Abdilla and Boeuf 1976",,http://infoterre.brgm.fr/rapports/76-SGN-558-PRC.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,Aix-les-Bains (Savoie),Source Alun,5.918251477,45.6888032,spring,,0.01375,,,46.25,45.5,47,Joanne and le Pileur (1880) Les Bains d'Europe,,,,7.16,45.5,,,,23,103.8,21.6,3.6,,17,,149,259,,,,,24.8,"Amat-Chantoux, R. 1985, Actualisation des Donnees hydrochmismiques des sources thermo-minerales des Departements de lÍsere, Savoie et Haute-Savoie, BRGM",,http://infoterre.brgm.fr/rapports/85-SGN-047-GEO.pdf,-10,-68.8,31,,,,,"Blavoux, Dazy and Sarrot-Reynauld (1982) Information about the origin of thermomineral waters and gas by means of environmental isotopes in eatern Azerbaijan, Iran, and southeast France, Journal of Hydrology, Vol 56",https://doi.org/10.1016/0022-1694(82)90054-3,https://ac.els-cdn.com/0022169482900543/1-s2.0-0022169482900543-main.pdf?_tid=785dda0b-9a5e-42cb-9ad3-b911a879251f&acdnat=1524138549_e72a1cd14bfaa748dbbde9258201e357
763,Aix-les-Bains (Savoie),Source Soufre,5.916677777,45.68930377,spring,,0.020583333,,,41.7,,,Joanne and le Pileur (1880) Les Bains d'Europe,,,,7.13,41.7,,,,27.5,110.9,20.6,3.9,,18.3,,164,265,,,,,23.5,"Amat-Chantoux, R. 1985, Actualisation des Donnees hydrochmismiques des sources thermo-minerales des Departements de lÍsere, Savoie et Haute-Savoie, BRGM",,http://infoterre.brgm.fr/rapports/85-SGN-047-GEO.pdf,-9.9,69.1,41,,,,,"Blavoux, Dazy and Sarrot-Reynauld (1982) Information about the origin of thermomineral waters and gas by means of environmental isotopes in eatern Azerbaijan, Iran, and southeast France, Journal of Hydrology, Vol 56",https://doi.org/10.1016/0022-1694(82)90054-3,https://ac.els-cdn.com/0022169482900543/1-s2.0-0022169482900543-main.pdf?_tid=785dda0b-9a5e-42cb-9ad3-b911a879251f&acdnat=1524138549_e72a1cd14bfaa748dbbde9258201e357
764,Aix-les-Bains (Savoie),Raphy-Saint Simon,5.920789494,45.71101187,well,4.5,0.002015,,0.002316667,19,,,Joanne and le Pileur (1880) Les Bains d'Europe,,,,7.3,,,,,2.8,96.2,17,0.8,0,2,n/a,28.4,341.3,,0.4,,n/a,7,"Amat-Chantoux, R. 1985, Actualisation des Donnees hydrochmismiques des sources thermo-minerales des Departements de lÍsere, Savoie et Haute-Savoie, BRGM",,http://infoterre.brgm.fr/rapports/85-SGN-047-GEO.pdf,10.15,67.3,60,,,,,"Blavoux, Dazy and Sarrot-Reynauld (1982) Information about the origin of thermomineral waters and gas by means of environmental isotopes in eatern Azerbaijan, Iran, and southeast France, Journal of Hydrology, Vol 56",https://doi.org/10.1016/0022-1694(82)90054-3,https://ac.els-cdn.com/0022169482900543/1-s2.0-0022169482900543-main.pdf?_tid=785dda0b-9a5e-42cb-9ad3-b911a879251f&acdnat=1524138549_e72a1cd14bfaa748dbbde9258201e357
765,Aix-les-Bains (Savoie),Source Esculape,5.911040225,45.67372336,spring,,3.33333E-05,,,11,,,,,,,7.08,11,,,,91.3,106.2,17.3,3.6,,40.7,1.1,160,353,,0,,0.07,15.7,"Amat-Chantoux, R. 1985, Actualisation des Donnees hydrochmismiques des sources thermo-minerales des Departements de lÍsere, Savoie et Haute-Savoie, BRGM",,http://infoterre.brgm.fr/rapports/85-SGN-047-GEO.pdf,,,,,,,,,,
766,Aix-les-Bains (Savoie),Source Adelaide,5.909915591,45.67420952,unknown,,1.95E-05,,,11.6,,,,,,,11,,,,,98,100.1,18.5,5.46,n/a,43.6,1.27,170.01,364.4,,0,,70,16.5,"Amat-Chantoux, R. 1985, Actualisation des Donnees hydrochmismiques des sources thermo-minerales des Departements de lÍsere, Savoie et Haute-Savoie, BRGM",,http://infoterre.brgm.fr/rapports/85-SGN-047-GEO.pdf,,,,,,,,,,
767,Aix-les-Bains (Savoie),Source Bonjean,5.911016893,45.67336387,unknown,,2.16667E-05,,,11.5,,,,,,,7.02,,,,,84.2,107.2,17,3.14,n/a,39.6,0.99,153.76,360.2,,0,,70,15.1,"Amat-Chantoux, R. 1985, Actualisation des Donnees hydrochmismiques des sources thermo-minerales des Departements de lÍsere, Savoie et Haute-Savoie, BRGM",,http://infoterre.brgm.fr/rapports/85-SGN-047-GEO.pdf,,,,,,,,,,
768,Alban [Saint-] (Loire),Cesar,3.9382,46.010863,well,4.3,0.000333333,,,17.2,,,Joanne and le Pileur (1880) Les Bains d'Europe,,,,6.35,,,,,360,250,70,40,,20,2.05,1,2081,,1,,2.15,,"Duboeuf, Ph., 1992, Diagnostic de l'etat des Moyens de Production, Orientation pour un Developpment de l'Exploitation, BRGM",,http://infoterre.brgm.fr/rapports/RR-33864-FR.pdf,,,,,,,,,,
769,Alban [Saint-] (Loire),Julia,3.9382,46.010863,well,3.75,0.000333333,,,17.2,,,Joanne and le Pileur (1880) Les Bains d'Europe,,,,6.4,,,,,320,263,73,39.5,,20.5,2.15,1,2081,,1,,1.7,,"Duboeuf, Ph., 1992, Diagnostic de l'etat des Moyens de Production, Orientation pour un Developpment de l'Exploitation, BRGM",,http://infoterre.brgm.fr/rapports/RR-33864-FR.pdf,,,,,,,,,,
770,Alban [Saint-] (Loire),Faustine,3.9382,46.010863,well,3.3,0.000333333,,,17.2,,,Joanne and le Pileur (1880) Les Bains d'Europe,,,,6.35,,,,,320,259,67,39.5,,22.5,2.1,1,2031,,1,,0.7,,"Duboeuf, Ph., 1992, Diagnostic de l'etat des Moyens de Production, Orientation pour un Developpment de l'Exploitation, BRGM",,http://infoterre.brgm.fr/rapports/RR-33864-FR.pdf,,,,,,,,,,
771,Alban [Saint-] (Loire),Antonin,3.9382,46.010863,well,4.15,0.000333333,,,17.2,,,Joanne and le Pileur (1880) Les Bains d'Europe,,,,6.35,,,,,320,263,62,39,,20,2.15,1,2058,,1,,2,,"Duboeuf, Ph., 1992, Diagnostic de l'etat des Moyens de Production, Orientation pour un Developpment de l'Exploitation, BRGM",,http://infoterre.brgm.fr/rapports/RR-33864-FR.pdf,,,,,,,,,,
772,Allevard (Isère),du Bout du monde,6.084013,45.383419,spring,,0.002314815,,,16.7,,,Joanne and le Pileur (1880) Les Bains d'Europe,,,,6.7,12,,,,260,167.2,51.7,4.4,,243,0.7,580,277,,,,0.52,11,"Amat-Chantoux, R. 1985, Actualisation des Donnees hydrochmismiques des sources thermo-minerales des Departements de lÍsere, Savoie et Haute-Savoie, BRGM",,http://infoterre.brgm.fr/rapports/85-SGN-047-GEO.pdf,-11,-78.7,81,,,,,"Courtois, N. and Vigouroux, P. (2005) Ressource en eau thermale de la station de Allevard-les-Bains, Rapport final, BRGM",,http://infoterre.brgm.fr/rapports/RP-53620-FR.pdf
773,Allevard (Isère),Forage Austerlitz,6.074821139,45.3918602,well,,0.002666667,,,17,,,,,,,6.95,17,,,,609,268,116,11,8.4,687,,1040,390,,,,,,"Amat-Chantoux, R. 1985, Actualisation des Donnees hydrochmismiques des sources thermo-minerales des Departements de lÍsere, Savoie et Haute-Savoie, BRGM",,http://infoterre.brgm.fr/rapports/85-SGN-047-GEO.pdf,-11.1,-77.8,,,,,,"Courtois, N. and Vigouroux, P. (2005) Ressource en eau thermale de la station de Allevard-les-Bains, Rapport final, BRGM",,http://infoterre.brgm.fr/rapports/RP-53620-FR.pdf
774,Amphion (Publier) (Haute-Savoie),Source Maxima,6.54715688,46.39416705,spring,,7.40741E-05,,,8,,,Joanne and le Pileur (1880) Les Bains d'Europe,,http://infoterre.brgm.fr/rapports/RR-34510-FR.pdf,,7,,,,,5.5,106.4,6.8,1.7,0,7.1,,30,315,,6,,,8.5,"Amat-Chantoux, R. 1985, Actualisation des Donnees hydrochmismiques des sources thermo-minerales des Departements de lÍsere, Savoie et Haute-Savoie, BRGM",,http://infoterre.brgm.fr/rapports/85-SGN-047-GEO.pdf,,,,,,,,,,
775,Amphion (Publier) (Haute-Savoie),source alcaline Maxima alcaline,6.54715688,46.39416705,spring,,,,,13,,,Joanne and le Pileur (1880) Les Bains d'Europe,,http://infoterre.brgm.fr/rapports/RR-34510-FR.pdf,,,,,,,17,103,14.2,,,25.7,,,313.64,,,,,,"Berthier, M. and Fournier-Ruet, I., 1992, Etude de Faisablite du Recaptage de la Source Maxima Sulfureuse, BRGM, Commune de Publier (74)",,http://infoterre.brgm.fr/rapports/RR-34510-FR.pdf,,,,,,,,,,
776,Amphion (Publier) (Haute-Savoie),source du nant,6.54715688,46.39416705,spring,,,,,,,,Joanne and le Pileur (1880) Les Bains d'Europe,,http://infoterre.brgm.fr/rapports/RR-34510-FR.pdf,0.054,7.5,,,,,11,99.4,16.4,2.2,0.05,16,,45,331,,13.5,,,10.5,"Berthier, M. and Fournier-Ruet, I., 1992, Etude de Faisablite du Recaptage de la Source Maxima Sulfureuse, BRGM, Commune de Publier (74)",,http://infoterre.brgm.fr/rapports/RR-34510-FR.pdf,,,,,,,,,,
777,Bains-les-Bains (Vosges),Grosse Source,6.26444444,48.0014167,spring,,0.003333333,,,49.5,49,50,Joanne and le Pileur (1880) Les Bains d'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,Bains-les-Bains (Vosges),Romaine,6.26444444,48.0014167,spring,,,,,45,,,Joanne and le Pileur (1880) Les Bains d'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,Bains-les-Bains (Vosges),Souterraine chaude,6.26444444,48.0014167,spring,,,,,49,,,Joanne and le Pileur (1880) Les Bains d'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Bains-les-Bains (Vosges),Robinet de Cuivre et Robinet de Fer,6.26444444,48.0014167,spring,,,,,48.3,48,48.5,Joanne and le Pileur (1880) Les Bains d'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,Bains-les-Bains (Vosges),Savonneuse,6.26444444,48.0014167,spring,,,,,38,37,39,Joanne and le Pileur (1880) Les Bains d'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,Bains-les-Bains (Vosges),Source tempérée de la Promenade,6.26444444,48.0014167,spring,,,,,32.5,32,33,Joanne and le Pileur (1880) Les Bains d'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,Bains-les-Bains (Vosges),Source Féconde,6.26444444,48.0014167,spring,,,,,40,39,41,Joanne and le Pileur (1880) Les Bains d'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,Bains-les-Bains (Vosges),Source tiède de la Promenade,6.26444444,48.0014167,spring,,0.00125,,,29.5,29,30,Joanne and le Pileur (1880) Les Bains d'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,Bains-les-Bains (Vosges),Source de la Vache,6.26444444,48.0014167,spring,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,Bauche [la] (Savoie),,5.77499728,45.48230039,spring,,8.33333E-05,,,12,,,Joanne and le Pileur (1880) Les Bains d'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,Berthemont-les-Bains,St. Jean Baptiste,7.30982505,44.05085725,spring,,0.0005,,,,28.4,29.5,,,http://infoterre.brgm.fr/rapports/88-SGN-723-PAC.pdf,,,,,,,71.4,3.5,<0.2,1.8,<0.1,22.6,13.3,34.2,27,27,,,<0.050,49,"Garnier, J. L. and Silvestre, J. P., 1988, Amélioration des conditions d´alimentation en eau thermale, BRGM, Commune de Roquebillière (06)",,http://infoterre.brgm.fr/rapports/88-SGN-723-PAC.pdf,-12.1,-80.6,3,,,,,"Garnier, J. L. and Silvestre, J. P. (1988) Amélioration des conditions d´alimentation en eau thermale, BRGM, Commune de Roquebillière (06)",,http://infoterre.brgm.fr/rapports/88-SGN-723-PAC.pdf
788,Berthemont-les-Bains,St. Julien,7.309825,44.050857,spring,,0.0005,,,,20.5,25.4,,,http://infoterre.brgm.fr/rapports/88-SGN-723-PAC.pdf,,,,,,,74,3.6,<0.2,2.1,<0.1,22,14,45,20,25,,,n/a,39,"Garnier, J. L. and Silvestre, J. P., 1988, Amélioration des conditions d´alimentation en eau thermale, BRGM, Commune de Roquebillière (06)",,http://infoterre.brgm.fr/rapports/88-SGN-723-PAC.pdf,,-79.2,-11.5,,,,,"Garnier, J. L. and Silvestre, J. P. (1988) Amélioration des conditions d´alimentation en eau thermale, BRGM, Commune de Roquebillière (06)",,http://infoterre.brgm.fr/rapports/88-SGN-723-PAC.pdf
789,Berthemont-les-Bains,St. Michael,7.309825,44.050857,spring,,,,,,,,,,http://infoterre.brgm.fr/rapports/88-SGN-723-PAC.pdf,,,,,,,77,3.5,0.2,2.2,0.2,25.2,14,31.3,21,33,,,<0.050,50,"Garnier, J. L. and Silvestre, J. P., 1988, Amélioration des conditions d´alimentation en eau thermale, BRGM, Commune de Roquebillière (06)",,http://infoterre.brgm.fr/rapports/88-SGN-723-PAC.pdf,-12.2,-80.6,2,,,,,"Garnier, J. L. and Silvestre, J. P. (1988) Amélioration des conditions d´alimentation en eau thermale, BRGM, Commune de Roquebillière (06)",,http://infoterre.brgm.fr/rapports/88-SGN-723-PAC.pdf
790,Berthemont-les-Bains,Le Campas,7.309825,44.050857,spring,,,,,,,,,,http://infoterre.brgm.fr/rapports/88-SGN-723-PAC.pdf,,,,,,,35.1,10,1,1.1,0.1,11.6,6.5,31,50,<6,,,<0.050,31,"Garnier, J. L. and Silvestre, J. P., 1988, Amélioration des conditions d´alimentation en eau thermale, BRGM, Commune de Roquebillière (06)",,http://infoterre.brgm.fr/rapports/88-SGN-723-PAC.pdf,-10.6,-69.2,14,,,,,"Garnier, J. L. and Silvestre, J. P. (1988) Amélioration des conditions d´alimentation en eau thermale, BRGM, Commune de Roquebillière (06)",,http://infoterre.brgm.fr/rapports/88-SGN-723-PAC.pdf
791,Allan (Drome),Bondonneau,4.782283,44.525661,spring,,0.00037037,,,,,,Joanne and le Pileur (1880) Les Bains d'Europe,PDF in Literature file on google drive,,,6.09,12,,,,12.42,129.2,4.82,1.56,,13.84,,86.4,345.26,,0.62,,,18.26,"Amat-Chantoux, R., 1986, Inventaire des indices thermo-mineraux du departement de la Drome, BRGM",,http://infoterre.brgm.fr/rapports/86-SGN-004-RHA.pdf,-6.71,-41.7,,,,,,"Amat-Chantoux, R. (1986) Inventaire des indices thermo-mineraux du departement de la Drome, BRGM",,http://infoterre.brgm.fr/rapports/86-SGN-004-RHA.pdf
792,Brides les Bains (Savoie),Charles Albert,6.570693449,45.45126276,spring,,0.0007,,,35.2,,,,,http://infoterre.brgm.fr/rapports/85-SGN-047-GEO.pdf,,,,,,,,,,,,,,,,,,,,,"Amat-Chantoux, R. 1985, Actualisation des Donnees hydrochmismiques des sources thermo-minerales des Departements de lÍsere, Savoie et Haute-Savoie, BRGM",,http://infoterre.brgm.fr/rapports/85-SGN-047-GEO.pdf,,,,,,,,"Blaise, M. and Vigouroux, P. (2005) Ressource en eau thermale de la station de Brides-les-Bains / Salins-les Thermes, Rapport final, BRGM",,http://infoterre.brgm.fr/rapports/RP-54262-FR.zip
793,Brides les Bains (Savoie),Hybord,6.57182147,45.45094967,well,4.5,0.003472222,0.00255,,38,,,,,http://infoterre.brgm.fr/rapports/85-SGN-047-GEO.pdf,,6.75,32.2,,,,950,640,99.2,57.8,n/a,979,2.36,2440,383,,,,1.9,31.2,"Amat-Chantoux, R. 1985, Actualisation des Donnees hydrochmismiques des sources thermo-minerales des Departements de lÍsere, Savoie et Haute-Savoie, BRGM",,http://infoterre.brgm.fr/rapports/85-SGN-047-GEO.pdf,-11.8,-88.3,16,,-8.7,,,"Blaise, M. and Vigouroux, P. (2005) Ressource en eau thermale de la station de Brides-les-Bains / Salins-les Thermes, Rapport final, BRGM",,http://infoterre.brgm.fr/rapports/RP-54262-FR.zip ; https://ac.els-cdn.com/004019519290368G/1-s2.0-004019519290368G-main.pdf?_tid=7c3f71f6-f3b0-412c-8b88-b14556978064&acdnat=1523952980_b49433ce7afe42069b2c568e838ccc41
794,Brides les Bains (Savoie),Leray,6.57137133,45.45092171,spring,,,,,,,,,,http://infoterre.brgm.fr/rapports/85-SGN-047-GEO.pdf,,,,,,,,,,,,,,,,,,,,,"Amat-Chantoux, R. 1985, Actualisation des Donnees hydrochmismiques des sources thermo-minerales des Departements de lÍsere, Savoie et Haute-Savoie, BRGM",,http://infoterre.brgm.fr/rapports/85-SGN-047-GEO.pdf,,,,,,,,"Blaise, M. and Vigouroux, P. (2005) Ressource en eau thermale de la station de Brides-les-Bains / Salins-les Thermes, Rapport final, BRGM",,http://infoterre.brgm.fr/rapports/RP-54262-FR.zip
795,Brides les Bains (Savoie),Source froide en amont du Pont,6.57182147,45.45094968,spring,,0.005029167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amat-Chantoux, R. 1985, Actualisation des Donnees hydrochmismiques des sources thermo-minerales des Departements de lÍsere, Savoie et Haute-Savoie, BRGM",,http://infoterre.brgm.fr/rapports/85-SGN-047-GEO.pdf,,,,,,,,,,
796,Caille [la] (Haute Savoie),Source du Chateau,6.106042945,46.01320665,spring,,0.000416667,,,24,,,,,http://infoterre.brgm.fr/rapports/85-SGN-047-GEO.pdf,,,17.2,,,,19.4,36.9,3.8,0.6,,3,,7,168,,,,,10,"Amat-Chantoux, R. 1985, Actualisation des Donnees hydrochmismiques des sources thermo-minerales des Departements de lÍsere, Savoie et Haute-Savoie, BRGM",,http://infoterre.brgm.fr/rapports/85-SGN-047-GEO.pdf,,,,,,,,,,
